material_id,pretty_formula,work_function,miller_index,surface_energy,fermi_energy,structure_type,symmetry_symbol,atomic_density_3d,c_over_a_ratio,b_over_a_ratio,lattice_alpha,lattice_beta,lattice_gamma,atomic_number,atomic_radius,1st_ionization_energy_eV,electron_affinity_eV,electronegativity,valence_electrons,Youngs_modulus,shear_modulus,bulk_modulus
mp-122,Ba,2.298426853596737,"[3, 2, 0]",0.33171933641925994,-0.2919,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.346758729017097,"[3, 3, 1]",0.35687827806060796,-0.3122,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.3124586215714027,"[3, 3, 2]",0.38092141639093635,-0.2917,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.038175356663371,"[3, 2, 1]",0.358665210379115,-0.2508,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.3110304280698615,"[3, 2, 2]",0.3797546526886514,-0.289,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.282312558532948,"[1, 0, 0]",0.3190564145162459,-0.284127,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.3501941362154026,"[1, 1, 0]",0.3113606260215323,-0.33610561,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-122,Ba,2.3015602108397877,"[2, 1, 1]",0.3718216790794158,-0.31178315,BCC,Im-3m,0.015384830656838466,1.4283509666953047,1.4270601507948522,90.0,90.0,90.0,56,2.15,5.2116646,0.144626,0.89,2,13.0,4.9,9.6
mp-124,Ag,4.0288143890895585,"[2, 1, 0]",0.8981205092650221,-0.4947,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.054811063642986,"[1, 1, 0]",0.8661177935998732,-0.94893925,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.0592397224596874,"[1, 1, 0]",0.8745657155066691,-0.54523415,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.179079462928248,"[2, 2, 1]",0.8241938176501425,-0.5668,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,3.966715067129292,"[2, 1, 1]",0.8678333427802342,-0.5382,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.344609941923813,"[1, 1, 1]",0.7642948887640003,-0.58597515,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.110423491975729,"[3, 1, 1]",0.8630772276775642,-0.5245,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.209890083636221,"[3, 2, 2]",0.7749160112785692,-0.5832,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.085043164212832,"[3, 2, 0]",0.8858763702309604,-0.5017,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.056746505717996,"[3, 3, 1]",0.8519251535990624,-0.509,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.056899416750875,"[3, 1, 0]",0.8909565264332904,-0.5412,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
mp-124,Ag,4.224072221156277,"[3, 3, 2]",0.7928723677672211,-0.5609,FCC,Fm-3m,0.05785285648663357,1.0,1.0,90.0,90.0,90.0,47,1.6,7.576234,1.304473,1.93,11,83.0,30.0,100.0
